SUMMARY STATISTICS FOR: Fsd-Tmax-RCP8.5-Out.OUT

Analysis Start Date: 01/01/2006 
Analysis End Date: 31/12/2100 
Ensemble Member(s): ALL
-
Month,Mean,Maximum,Minimum,Variance,Sum
-
January, 19.1947905602716 , 28.10485 , 10.184 , 6.89233465927893 , 595.038507368421 
February, 21.8754416353384 , 32.4961 , 11.0139 , 9.95935163228672 , 612.512365789474 
March, 26.8463590322581 , 37.8326 , 15.6437 , 10.737031896266 , 832.23713 
April, 32.7263786842105 , 47.73575 , 16.4954 , 21.2138068271362 , 981.791360526315 
May, 40.9958253989814 , 56.6412 , 25.54895 , 19.9357079146136 , 1270.87058736842 
June, 43.0188449122807 , 55.21795 , 30.9283 , 12.5556282925167 , 1290.56534736842 
July, 37.7472530560272 , 49.23625 , 26.07545 , 11.3349468654505 , 1170.16484473684 
August, 37.6546912054329 , 45.9298 , 29.45155 , 5.87775519866322 , 1167.29542736842 
September, 35.8614768070176 , 45.4947 , 26.239 , 8.23179626025182 , 1075.84430421053 
October, 34.1698329202037 , 44.49115 , 24.60985 , 8.35971684739361 , 1059.26482052632 
November, 29.9113438421053 , 40.1669 , 20.8178 , 7.63228096750773 , 897.340315263158 
December, 19.9126799151104 , 29.52365 , 6.83485 , 9.12463020449727 , 617.293077368421 
Winter, 20.2760438947368 , 32.4961 , 6.83485 , 9.86245615951654 , 1805.835159375 
Spring, 33.5315117162471 , 56.6412 , 15.36205 , 51.3002355657742 , 3084.89907789474 
Summer, 39.4350610812357 , 55.21795 , 26.07545 , 16.1118675683388 , 3628.02561947368 
Autumn, 33.3236202197802 , 45.5549 , 20.8178 , 14.2847642419166 , 3032.44944 
Annual, 31.6992276380678 , 56.7055 , 6.83485 , 71.7489360392014 , 11570.2180878947 
Standard Deviations of Results
January, 7.52058001347058E-02 , 0.501320184612589 , 0.635631733002688 , 0.191810479672887 , 2.33137980417589 
February, 6.40914104487273E-02 , 0.608927081020379 , 1.07773512051895 , 0.273453503265102 , 1.79455949256436 
March, 5.65984003443089E-02 , 0.74579410027165 , 0.889150274138179 , 0.31423096082893 , 1.75455041067356 
April, 7.01557460773819E-02 , 0.869509452220043 , 1.50991133514521 , 0.560886082496459 , 2.10467238232145 
May, 7.90330913974539E-02 , 1.31735411336512 , 1.27280000294626 , 0.563230628962411 , 2.45002583332108 
June, 7.02182326964082E-02 , 0.772246105525951 , 0.850253027045479 , 0.326893611419435 , 2.10654698089222 
July, 5.15833744435741E-02 , 0.704203796851451 , 0.972154076008531 , 0.258571251268275 , 1.59908460775079 
August, 3.25893762259091E-02 , 0.52172297246719 , 0.6650670248178 , 0.164933360558683 , 1.0102706630032 
September, 4.73601225744246E-02 , 0.990128229069346 , 0.767846469028803 , 0.162090922489101 , 1.42080367723271 
October, 4.05911327232048E-02 , 0.637384677804543 , 0.908592938284246 , 0.213386210028063 , 1.25832511441933 
November, 3.77293701264526E-02 , 0.824314678990979 , 0.830429081860697 , 0.194075855621696 , 1.13188110379356 
December, 5.46495293847993E-02 , 0.696941050233088 , 1.30425750045764 , 0.226100983396437 , 1.69413541092878 
Winter, 3.51329978676969E-02 , 0.608927081020379 , 1.30425750045764 , 0.170353306294586 , 3.12903262259177 
Spring, 4.16814575736258E-02 , 1.31735411336512 , 0.960752334111138 , 0.593740178048773 , 3.83469409677355 
Summer, 3.45968624328623E-02 , 0.772246105525951 , 0.972154076008531 , 0.247673644571003 , 3.18291134382338 
Autumn, 2.33940310048999E-02 , 0.948449255363722 , 0.830429081860697 , 0.159658525002537 , 2.12885682144592 
Annual, 1.58147498601216E-02 , 1.30101950408132 , 1.30425750045764 , 0.334257043012295 , 5.77238369894429 
