SUMMARY STATISTICS FOR: Fsd-Tmin-RCP8.5-Out.OUT

Analysis Start Date: 01/01/2006 
Analysis End Date: 31/12/2100 
Ensemble Member(s): ALL
-
Month,Mean,Maximum,Minimum,Variance,Sum
-
January, 5.67837042444822 , 15.8395 ,-3.9455 , 8.08082548470864 , 176.029483157895 
February, 7.89016956766917 , 17.03385 ,-1.34075 , 7.51467233880587 , 220.924747894737 
March, 12.3350935483871 , 23.20335 , 1.4883 , 10.4437033874678 , 382.3879 
April, 17.9314886315789 , 29.3648 , 6.01145 , 11.7529174104984 , 537.944658947368 
May, 23.5189062139219 , 34.36685 , 12.34625 , 10.3043066460518 , 729.086092631579 
June, 26.6831479298246 , 36.24545 , 17.33765 , 7.55107770729595 , 800.494437894737 
July, 27.3198149066214 , 35.38955 , 19.29125 , 5.88728625664094 , 846.914262105263 
August, 27.1283957555178 , 33.21635 , 21.21475 , 3.06296167013503 , 840.980268421053 
September, 24.947403122807 , 33.0011 , 16.76345 , 5.7893041576801 , 748.42209368421 
October, 19.2642444991511 , 36.30915 , 7.06805 , 18.9710876481929 , 597.191579473684 
November, 14.6872137894737 , 33.62245 ,-3.0976 , 28.9729781118481 , 440.61641368421 
December, 6.86315298811545 , 16.1977 ,-2.40135 , 7.72301451598546 , 212.757742631579 
Winter, 6.77457748538012 , 17.27665 ,-3.9455 , 8.58676422921806 , 603.360807291667 
Spring, 17.928463604119 , 34.36685 , 1.4883 , 31.8981334737889 , 1649.41865157895 
Summer, 27.0477061784897 , 36.2706 , 17.3348 , 5.54984223122099 , 2488.38896842105 
Autumn, 19.62890205321 , 36.4144 ,-3.0976 , 35.3461019490932 , 1786.23008684211 
Annual, 17.9006840562365 , 37.0683 ,-4.3806 , 72.7264838173434 , 6533.74968052631 
Standard Deviations of Results
January, 4.88494406965889E-02 , 1.10223366397511 , 0.668196041592585 , 0.195077132281759 , 1.51433266159425 
February, 0.054344359893262 , 0.631400845343115 , 0.503926271889053 , 0.251175015954489 , 1.52164207701134 
March, 5.12770087344255E-02 , 0.76456185328592 , 0.883650389011401 , 0.212298943190395 , 1.58958727076719 
April, 4.46218938129433E-02 , 0.721514005408072 , 0.946090876977471 , 0.331038338662212 , 1.33865681438831 
May, 4.66497074296574E-02 , 0.809609861291228 , 1.11245821831654 , 0.228930007399708 , 1.44614093031938 
June, 5.30671991707456E-02 , 0.688541972213751 , 0.917398946751085 , 0.176968911869711 , 1.59201597512238 
July, 3.67330714646517E-02 , 0.518443774675712 , 0.685986433903762 , 7.64295301438538E-02 , 1.1387252154042 
August, 2.97937693562139E-02 , 0.477998041313979 , 0.473230269002312 , 7.96680570362212E-02 , 0.923606850042637 
September, 3.83792755840774E-02 , 0.756247241317283 , 0.682297330714404 , 0.151405618625953 , 1.15137826752234 
October, 4.98811319479057E-02 , 1.40660883954993 , 0.993531804976569 , 0.346578367904336 , 1.54631509038509 
November, 6.98795328593265E-02 , 1.52736369195421 , 1.79475684704085 , 0.795388389726883 , 2.09638598577979 
December, 4.67285247299459E-02 , 0.694248665825149 , 0.491859967368762 , 0.216907580607783 , 1.44858426662832 
Winter, 3.12166675595495E-02 , 0.74682891447774 , 0.668196041592585 , 0.110582321594436 , 2.78023445452237 
Spring, 2.56406590988358E-02 , 0.809609861291228 , 0.883650389011401 , 0.273140121501842 , 2.35894063709289 
Summer, 2.15226398677287E-02 , 0.666199024316308 , 0.913802910916791 , 8.38210195868803E-02 , 1.98008286783099 
Autumn, 2.75457816556451E-02 , 1.36251764759213 , 1.79475684704085 , 0.402493039655536 , 2.50666613066371 
Annual, 0.012243605565183 , 0.940996179588419 , 1.15144849646 , 0.228827841646357 , 4.46891603129195 
