SUMMARY STATISTICS FOR: Lhr. Tmin-RCP4.5-Out.OUT

Analysis Start Date: 01/01/2006 
Analysis End Date: 31/12/2100 
Ensemble Member(s): ALL
-
Month,Mean,Maximum,Minimum,Variance,Sum
-
January, 7.19123663837012 , 15.7701 ,-1.1037 , 5.83346056113289 , 222.928335789474 
February, 10.1527898496241 , 17.90075 , 2.86975 , 4.66206795993523 , 284.278115789474 
March, 14.0440081154499 , 22.66915 , 5.1853 , 6.43625143306588 , 435.364251578947 
April, 19.6086816666666 , 30.1478 , 9.35075 , 9.66960436218444 , 588.26045 
May, 25.6839270628183 , 36.5048 , 14.515 , 10.5041248300033 , 796.201738947368 
June, 27.594836122807 , 37.4603 , 17.6617 , 8.4793514112735 , 827.845083684211 
July, 26.8375507470289 , 35.77645 , 17.33465 , 7.10287568007459 , 831.964073157895 
August, 27.8978710016978 , 34.9849 , 20.85395 , 4.3527368180359 , 864.834001052632 
September, 25.9519295087719 , 33.8863 , 18.21185 , 5.47859036659546 , 778.557885263158 
October, 19.6012755348047 , 34.1085 , 8.83905 , 14.670207046217 , 607.639541578947 
November, 14.0080169824561 , 21.5978 , 6.4581 , 4.68917882226119 , 420.240509473684 
December, 8.75628864176571 , 16.924 , 0.8933 , 5.53202263334217 , 271.444947894737 
Winter, 8.65168221637427 , 17.9117 ,-1.1088 , 6.80582680521096 , 770.540447395833 
Spring, 19.7807221796339 , 36.5048 , 5.1853 , 31.7040246516296 , 1819.82644052632 
Summer, 27.4417734553776 , 37.46625 , 17.06885 , 6.82754245426344 , 2524.64315789474 
Autumn, 19.8509663331405 , 34.3771 , 6.4581 , 31.8975076826279 , 1806.43793631579 
Annual, 18.9850929704398 , 37.7191 ,-1.1088 , 64.0448019505765 , 6929.55893421053 
Standard Deviations of Results
January, 3.66868677454969E-02 , 0.726863529144227 , 0.573642318871263 , 0.11926968008146 , 1.1372929001104 
February, 4.61373203617519E-02 , 0.599651805216994 , 0.588403677333852 , 0.109449035404587 , 1.29184497012905 
March, 3.76764008452812E-02 , 0.480855100316093 , 0.807882856607318 , 9.97081878394438E-02 , 1.16796842620372 
April, 4.61949500407722E-02 , 0.708631681481995 , 0.870477907531259 , 0.250609971061825 , 1.38584850122315 
May, 6.12756065416487E-02 , 1.09459433581578 , 0.688986211763342 , 0.321361949869254 , 1.89954380279111 
June, 5.56887367165683E-02 , 0.734440610260626 , 0.677411403801265 , 0.181648959954512 , 1.67066210149703 
July, 5.35896815771686E-02 , 0.645643591697462 , 0.793469046340183 , 0.117467184639961 , 1.66128012889224 
August, 4.90158776043523E-02 , 0.600946661526628 , 0.49263987607582 , 0.122400743689202 , 1.51949220573494 
September, 3.68220764314329E-02 , 0.4650080751987 , 0.48850970051781 , 0.171121281700306 , 1.10466229294299 
October, 4.29634841527523E-02 , 0.929798392125949 , 0.899018769270142 , 0.283975879829957 , 1.33186800873533 
November, 3.77933417215023E-02 , 0.538409565293931 , 0.63968413299065 , 0.115276080303618 , 1.13380025164507 
December, 4.65869386351791E-02 , 0.740496117478006 , 0.594220085490216 , 0.140960879957044 , 1.44419509769055 
Winter, 2.67309844142369E-02 , 0.587896853197906 , 0.570305321735647 , 0.104958792279775 , 2.38072829939297 
Spring, 2.77969188521958E-02 , 1.09459433581578 , 0.807882856607318 , 0.365926544961881 , 2.55731653440196 
Summer, 3.23743080455241E-02 , 0.729181998886424 , 0.642521382912662 , 7.36710159103494E-02 , 2.97843634018822 
Autumn, 0.026523184819334 , 0.672573408632842 , 0.63968413299065 , 0.300411372420053 , 2.41360981855941 
Annual, 0.014262836787718 , 0.808142246142349 , 0.570305321735647 , 0.270853724378327 , 5.20593542751692 
